Student ID,Fake Profile,Time Spent,"Password Security","Enable Security","Sharing Location","Accept Unknown","Number of Friends",Number of Groups,"Click on Unknown Link"
Student 603,1,3,1,1,4,3,5,1,4
Student 604,1,3,1,4,3,4,4,1,5
Student 605,1,2,2,3,2,4,2,1,5
Student 606,1,2,1,1,2,4,5,5,3
Student 607,1,3,1,2,4,2,5,2,4
Student 608,1,3,4,3,3,2,5,1,4
Student 609,1,1,3,3,5,3,1,1,5
Student 610,2,2,2,1,3,5,3,3,5
Student 611,1,2,2,2,4,3,4,1,4
Student 612,1,4,2,4,3,2,5,2,4
Student 613,1,3,2,2,3,4,5,1,4
Student 614,1,2,3,3,3,2,5,1,4
Student 615,1,2,1,1,4,4,2,5,4
Student 616,1,3,2,2,4,2,3,3,5
Student 617,1,2,3,2,3,3,2,1,4
Student 618,3,3,2,1,3,4,3,4,5
Student 619,1,2,1,1,4,5,1,1,5
Student 620,1,2,1,2,4,5,4,1,5
Student 621,1,2,3,1,3,5,1,1,5
Student 622,1,3,2,1,3,4,3,1,3
Student 623,1,3,4,2,2,4,3,1,4
Student 624,1,4,3,2,3,4,3,2,4
Student 625,1,3,2,2,2,3,5,3,5
Student 626,1,2,2,3,5,4,4,1,5
Student 627,2,3,2,2,2,2,1,3,4
Student 628,1,4,2,2,3,2,5,1,4
Student 629,1,2,2,2,4,4,5,2,5
Student 630,3,2,3,2,3,4,3,1,4
Student 631,1,2,1,2,5,5,4,1,2
Student 632,2,3,1,2,2,4,5,2,5
Student 633,1,2,2,2,3,3,5,5,3
Student 634,1,3,2,1,4,5,2,2,4
Student 635,1,2,1,1,4,3,4,1,2
Student 636,2,2,1,2,4,4,3,2,4
Student 637,1,1,2,1,5,5,1,1,5
Student 638,2,3,4,1,2,4,5,3,5
Student 639,1,3,3,2,3,4,1,1,2
Student 640,1,4,1,5,3,2,3,1,5
Student 641,1,3,4,2,4,5,3,1,5
Student 642,1,3,2,1,3,5,5,2,3
Student 643,1,3,2,2,2,4,5,1,4
Student 644,1,3,3,5,5,4,5,1,5
Student 645,1,3,1,1,4,5,5,1,5
Student 646,5,3,3,4,5,5,1,1,5
Student 647,1,3,2,3,4,2,5,1,4
Student 648,2,3,1,2,4,2,5,5,5
Student 649,1,2,1,3,3,2,5,1,3
Student 650,1,2,2,3,2,4,5,2,4
Student 651,1,2,2,2,4,4,2,2,5
Student 652,1,3,4,2,1,1,4,1,1
Student 653,1,3,1,1,4,5,2,4,2
Student 654,1,2,1,2,4,5,5,1,5
Student 655,1,2,1,1,2,5,2,2,5
Student 656,1,3,2,1,4,4,3,1,4
Student 657,1,4,1,1,3,3,2,2,4
Student 658,1,2,1,1,4,3,5,1,3
Student 659,2,3,2,2,4,5,3,1,5
Student 660,1,2,1,1,5,5,1,1,5
Student 661,1,2,1,1,4,5,3,1,5
Student 662,1,3,1,2,4,5,2,2,5
Student 663,1,2,3,2,4,4,2,3,5
Student 664,1,2,2,1,3,5,3,1,5
