Student ID,Location Leakage,Time Spent,Password Security,Enable Security,Sharing Location,Accept Unknown,Number of Friends,Number of Groups,Click on Unknown Link
Student 603,4,3,1,1,4,3,5,1,4
Student 604,3,3,1,4,3,4,4,1,5
Student 605,5,2,2,3,2,4,2,1,5
Student 606,2,2,1,1,2,4,5,5,3
Student 607,4,3,1,2,4,2,5,2,4
Student 608,4,3,4,3,3,2,5,1,4
Student 609,5,1,3,3,5,3,1,1,5
Student 610,3,2,2,1,3,5,3,3,5
Student 611,2,2,2,2,4,3,4,1,4
Student 612,2,4,2,4,3,2,5,2,4
Student 613,3,3,2,2,3,4,5,1,4
Student 614,4,2,3,3,3,2,5,1,4
Student 615,4,2,1,1,4,4,2,5,4
Student 616,4,3,2,2,4,2,3,3,5
Student 617,4,2,3,2,3,3,2,1,4
Student 618,2,3,2,1,3,4,3,4,5
Student 619,4,2,1,1,4,5,1,1,5
Student 620,5,2,1,2,4,5,4,1,5
Student 621,4,2,3,1,3,5,1,1,5
Student 622,3,3,2,1,3,4,3,1,3
Student 623,4,3,4,2,2,4,3,1,4
Student 624,2,4,3,2,3,4,3,2,4
Student 625,2,3,2,2,2,3,5,3,5
Student 626,5,2,2,3,5,4,4,1,5
Student 627,2,3,2,2,2,2,1,3,4
Student 628,4,4,2,2,3,2,5,1,4
Student 629,3,2,2,2,4,4,5,2,5
Student 630,4,2,3,2,3,4,3,1,4
Student 631,4,2,1,2,5,5,4,1,2
Student 632,4,3,1,2,2,4,5,2,5
Student 633,3,2,2,2,3,3,5,5,3
Student 634,4,3,2,1,4,5,2,2,4
Student 635,4,2,1,1,4,3,4,1,2
Student 636,4,2,1,2,4,4,3,2,4
Student 637,5,1,2,1,5,5,1,1,5
Student 638,2,3,4,1,2,4,5,3,5
Student 639,3,3,3,2,3,4,1,1,2
Student 640,2,4,1,5,3,2,3,1,5
Student 641,3,3,4,2,4,5,3,1,5
Student 642,4,3,2,1,3,5,5,2,3
Student 643,4,3,2,2,2,4,5,1,4
Student 644,4,3,3,5,5,4,5,1,5
Student 645,4,3,1,1,4,5,5,1,5
Student 646,5,3,3,4,5,5,1,1,5
Student 647,4,3,2,3,4,2,5,1,4
Student 648,4,3,1,2,4,2,5,5,5
Student 649,4,2,1,3,3,2,5,1,3
Student 650,3,2,2,3,2,4,5,2,4
Student 651,4,2,2,2,4,4,2,2,5
Student 652,4,3,4,2,1,1,4,1,1
Student 653,4,3,1,1,4,5,2,4,2
Student 654,3,2,1,2,4,5,5,1,5
Student 655,3,2,1,1,2,5,2,2,5
Student 656,4,3,2,1,4,4,3,1,4
Student 657,4,4,1,1,3,3,2,2,4
Student 658,3,2,1,1,4,3,5,1,3
Student 659,3,3,2,2,4,5,3,1,5
Student 660,5,2,1,1,5,5,1,1,5
Student 661,3,2,1,1,4,5,3,1,5
Student 662,5,3,1,2,4,5,2,2,5
Student 663,4,2,3,2,4,4,2,3,5
Student 664,3,2,2,1,3,5,3,1,5
