Student ID,"Cyber 
Bullying",Time Spent,"Password 
Security","Enable 
Security","Sharing
Location","Accept 
Unknown","Number of 
Friends",Number of Groups,"Click on 
Unknown
Link "
Student 602,4,2,2,2,5,5,2,2,5
Student 603,4,3,1,1,4,3,5,1,4
Student 604,4,3,1,4,3,4,4,1,5
Student 605,5,2,2,3,2,4,2,1,5
Student 606,4,2,1,1,2,4,5,5,3
Student 607,4,3,1,2,4,2,5,2,4
Student 608,5,3,4,3,3,2,5,1,4
Student 609,5,1,3,3,5,3,1,1,5
Student 610,5,2,2,1,3,5,3,3,5
Student 611,5,2,2,2,4,3,4,1,4
Student 612,5,4,2,4,3,2,5,2,4
Student 613,5,3,2,2,3,4,5,1,4
Student 614,5,2,3,3,3,2,5,1,4
Student 615,4,2,1,1,4,4,2,5,4
Student 616,5,3,2,2,4,2,3,3,5
Student 617,5,2,3,2,3,3,2,1,4
Student 618,4,3,2,1,3,4,3,4,5
Student 619,5,2,1,1,4,5,1,1,5
Student 620,4,2,1,2,4,5,4,1,5
Student 621,4,2,3,1,3,5,1,1,5
Student 622,5,3,2,1,3,4,3,1,3
Student 623,5,3,4,2,2,4,3,1,4
Student 624,5,4,3,2,3,4,3,2,4
Student 625,4,3,2,2,2,3,5,3,5
Student 626,5,2,2,3,5,4,4,1,5
Student 627,3,3,2,2,2,2,1,3,4
Student 628,2,4,2,2,3,2,5,1,4
Student 629,5,2,2,2,4,4,5,2,5
Student 630,5,2,3,2,3,4,3,1,4
Student 631,4,2,1,2,5,5,4,1,2
Student 632,4,3,1,2,2,4,5,2,5
Student 633,4,2,2,2,3,3,5,5,3
Student 634,4,3,2,1,4,5,2,2,4
Student 635,5,2,1,1,4,3,4,1,2
Student 636,4,2,1,2,4,4,3,2,4
Student 637,5,1,2,1,5,5,1,1,5
Student 638,5,3,4,1,2,4,5,3,5
Student 639,5,3,3,2,3,4,1,1,2
Student 640,5,4,1,5,3,2,3,1,5
Student 641,4,3,4,2,4,5,3,1,5
Student 642,5,3,2,1,3,5,5,2,3
Student 643,5,3,2,2,2,4,5,1,4
Student 644,4,3,3,5,5,4,5,1,5
Student 645,4,3,1,1,4,5,5,1,5
Student 646,5,3,3,4,5,5,1,1,5
Student 647,5,3,2,3,4,2,5,1,4
Student 648,4,3,1,2,4,2,5,5,5
Student 649,5,2,1,3,3,2,5,1,3
Student 650,4,2,2,3,2,4,5,2,4
Student 651,4,2,2,2,4,4,2,2,5
Student 652,5,3,4,2,1,1,4,1,1
Student 653,5,3,1,1,4,5,2,4,2
Student 654,5,2,1,2,4,5,5,1,5
Student 655,5,2,1,1,2,5,2,2,5
Student 656,5,3,2,1,4,4,3,1,4
Student 657,3,4,1,1,3,3,2,2,4
Student 658,5,2,1,1,4,3,5,1,3
Student 659,5,3,2,2,4,5,3,1,5
Student 660,5,2,1,1,5,5,1,1,5
Student 661,5,2,1,1,4,5,3,1,5
Student 662,5,3,1,2,4,5,2,2,5
Student 663,4,2,3,2,4,4,2,3,5
Student 664,4,2,2,1,3,5,3,1,5
