Student ID,Spam,Time Spent,"Password 
Security","Enable 
Security","Sharing
Location","Accept 
Unknown","Number of 
Friends",Number of Groups,"Click on 
Unknown
Link "
Student 602,3,2,2,2,5,5,2,2,5
Student 603,1,3,1,1,4,3,5,1,4
Student 604,3,3,1,4,3,4,4,1,5
Student 605,2,2,2,3,2,4,2,1,5
Student 606,2,2,1,1,2,4,5,5,3
Student 607,2,3,1,2,4,2,5,2,4
Student 608,3,3,4,3,3,2,5,1,4
Student 609,5,1,3,3,5,3,1,1,5
Student 610,2,2,2,1,3,5,3,3,5
Student 611,3,2,2,2,4,3,4,1,4
Student 612,2,4,2,4,3,2,5,2,4
Student 613,2,3,2,2,3,4,5,1,4
Student 614,3,2,3,3,3,2,5,1,4
Student 615,4,2,1,1,4,4,2,5,4
Student 616,2,3,2,2,4,2,3,3,5
Student 617,2,2,3,2,3,3,2,1,4
Student 618,3,3,2,1,3,4,3,4,5
Student 619,5,2,1,1,4,5,1,1,5
Student 620,4,2,1,2,4,5,4,1,5
Student 621,2,2,3,1,3,5,1,1,5
Student 622,2,3,2,1,3,4,3,1,3
Student 623,3,3,4,2,2,4,3,1,4
Student 624,1,4,3,2,3,4,3,2,4
Student 625,4,3,2,2,2,3,5,3,5
Student 626,2,2,2,3,5,4,4,1,5
Student 627,1,3,2,2,2,2,1,3,4
Student 628,3,4,2,2,3,2,5,1,4
Student 629,2,2,2,2,4,4,5,2,5
Student 630,3,2,3,2,3,4,3,1,4
Student 631,2,2,1,2,5,5,4,1,2
Student 632,2,3,1,2,2,4,5,2,5
Student 633,1,2,2,2,3,3,5,5,3
Student 634,2,3,2,1,4,5,2,2,4
Student 635,1,2,1,1,4,3,4,1,2
Student 636,3,2,1,2,4,4,3,2,4
Student 637,4,1,2,1,5,5,1,1,5
Student 638,1,3,4,1,2,4,5,3,5
Student 639,2,3,3,2,3,4,1,1,2
Student 640,1,4,1,5,3,2,3,1,5
Student 641,2,3,4,2,4,5,3,1,5
Student 642,1,3,2,1,3,5,5,2,3
Student 643,2,3,2,2,2,4,5,1,4
Student 644,1,3,3,5,5,4,5,1,5
Student 645,2,3,1,1,4,5,5,1,5
Student 646,2,3,3,4,5,5,1,1,5
Student 647,2,3,2,3,4,2,5,1,4
Student 648,2,3,1,2,4,2,5,5,5
Student 649,4,2,1,3,3,2,5,1,3
Student 650,2,2,2,3,2,4,5,2,4
Student 651,2,2,2,2,4,4,2,2,5
Student 652,2,3,4,2,1,1,4,1,1
Student 653,3,3,1,1,4,5,2,4,2
Student 654,4,2,1,2,4,5,5,1,5
Student 655,2,2,1,1,2,5,2,2,5
Student 656,3,3,2,1,4,4,3,1,4
Student 657,2,4,1,1,3,3,2,2,4
Student 658,2,2,1,1,4,3,5,1,3
Student 659,4,3,2,2,4,5,3,1,5
Student 660,5,2,1,1,5,5,1,1,5
Student 661,4,2,1,1,4,5,3,1,5
Student 662,3,3,1,2,4,5,2,2,5
Student 663,2,2,3,2,4,4,2,3,5
Student 664,2,2,2,1,3,5,3,1,5
