Student ID,Clickjacking,Time Spent,"Password 
Security","Enable 
Security","Sharing
Location","Accept 
Unknown","Number of 
Friends","Number of 
Groups","Click on 
Unknown
Link "
Student 602,5,2,2,2,5,5,2,2,5
Student 603,2,3,1,1,4,3,5,1,4
Student 604,3,3,1,4,3,4,4,1,5
Student 605,5,2,2,3,2,4,2,1,5
Student 606,3,2,1,1,2,4,5,5,3
Student 607,2,3,1,2,4,2,5,2,4
Student 608,4,3,4,3,3,2,5,1,4
Student 609,5,1,3,3,5,3,1,1,5
Student 610,5,2,2,1,3,5,3,3,5
Student 611,3,2,2,2,4,3,4,1,4
Student 612,4,4,2,4,3,2,5,2,4
Student 613,2,3,2,2,3,4,5,1,4
Student 614,3,2,3,3,3,2,5,1,4
Student 615,5,2,1,1,4,4,2,5,4
Student 616,3,3,2,2,4,2,3,3,5
Student 617,3,2,3,2,3,3,2,1,4
Student 618,2,3,2,1,3,4,3,4,5
Student 619,4,2,1,1,4,5,1,1,5
Student 620,3,2,1,2,4,5,4,1,5
Student 621,3,2,3,1,3,5,1,1,5
Student 622,3,3,2,1,3,4,3,1,3
Student 623,4,3,4,2,2,4,3,1,4
Student 624,1,4,3,2,3,4,3,2,4
Student 625,4,3,2,2,2,3,5,3,5
Student 626,4,2,2,3,5,4,4,1,5
Student 627,3,3,2,2,2,2,1,3,4
Student 628,2,4,2,2,3,2,5,1,4
Student 629,4,2,2,2,4,4,5,2,5
Student 630,3,2,3,2,3,4,3,1,4
Student 631,3,2,1,2,5,5,4,1,2
Student 632,3,3,1,2,2,4,5,2,5
Student 633,3,2,2,2,3,3,5,5,3
Student 634,3,3,2,1,4,5,2,2,4
Student 635,1,2,1,1,4,3,4,1,2
Student 636,4,2,1,2,4,4,3,2,4
Student 637,4,1,2,1,5,5,1,1,5
Student 638,2,3,4,1,2,4,5,3,5
Student 639,4,3,3,2,3,4,1,1,2
Student 640,5,4,1,5,3,2,3,1,5
Student 641,2,3,4,2,4,5,3,1,5
Student 642,3,3,2,1,3,5,5,2,3
Student 643,1,3,2,2,2,4,5,1,4
Student 644,3,3,3,5,5,4,5,1,5
Student 645,3,3,1,1,4,5,5,1,5
Student 646,3,3,3,4,5,5,1,1,5
Student 647,3,3,2,3,4,2,5,1,4
Student 648,3,3,1,2,4,2,5,5,5
Student 649,3,2,1,3,3,2,5,1,3
Student 650,2,2,2,3,2,4,5,2,4
Student 651,3,2,2,2,4,4,2,2,5
Student 652,1,3,4,2,1,1,4,1,1
Student 653,3,3,1,1,4,5,2,4,2
Student 654,3,2,1,2,4,5,5,1,5
Student 655,4,2,1,1,2,5,2,2,5
Student 656,4,3,2,1,4,4,3,1,4
Student 657,3,4,1,1,3,3,2,2,4
Student 658,4,2,1,1,4,3,5,1,3
Student 659,4,3,2,2,4,5,3,1,5
Student 660,5,2,1,1,5,5,1,1,5
Student 661,3,2,1,1,4,5,3,1,5
Student 662,4,3,1,2,4,5,2,2,5
Student 663,4,2,3,2,4,4,2,3,5
Student 664,4,2,2,1,3,5,3,1,5
